Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:24:34.640,COM16,, -0.116, 0.013, 0.943, -3.174, -2.625, 74.646, 3.609, 2.747, 94.449, 57.220, -25.420, 25.527, 32.31,,,,,,,,,,,,,,,,
 17:24:34.645,COM16,, -0.075, -0.001, 0.971, -2.014, 0.854, 72.876, 3.697, 2.620, 102.969, 54.960, -26.907, 24.353, 32.35,,,,,,,,,,,,,,,,
 17:24:34.653,COM13,, 0.006, -1.033, -0.064, -1.038, -18.921, -2.625, -2.230, 0.890, 44.489, -0.033, -12.207, 109.200, 31.37,,,,,,,,,,,,,,,,
 17:24:34.759,COM13,, -0.014, -1.053, -0.047, 0.305, -14.526, 0.427, -1.972, 1.011, 46.653, -0.527, -12.400, 109.227, 31.39,,,,,,,,,,,,,,,,
 17:24:34.767,COM14,, 0.012, -0.102, 0.962, 1.587, 0.732, 14.709, -1.329, 0.846, -18.814, 23.067, 35.153, -41.193, 30.93,,,,,,,,,,,,,,,,
 17:24:34.779,COM16,, -0.076, -0.007, 0.995, -2.258, 0.854, 71.411, 3.768, 2.598, 110.923, 52.367, -28.520, 23.627, 32.33,,,,,,,,,,,,,,,,
 17:24:34.822,COM14,, 0.053, -0.139, 1.034, 1.221, 0.427, 9.888, -1.340, 0.791, -13.997, 18.673, 32.193, -31.020, 30.92,,,,,,,,,,,,,,,,
 17:24:34.891,COM13,, 0.037, -1.040, -0.069, -0.916, -8.789, -0.732, -1.912, 1.192, 48.203, 1.080, -12.653, 109.293, 31.40,,,,,,,,,,,,,,,,
 17:24:34.919,COM16,, -0.043, -0.049, 1.056, -2.441, 0.122, 69.519, 3.834, 2.433, 118.251, 50.473, -29.953, 22.747, 32.34,,,,,,,,,,,,,,,,
 17:24:34.932,COM14,, 0.025, -0.121, 1.020, 0.122, -0.122, 7.324, -1.313, 0.709, -10.162, 13.733, 29.973, -24.107, 30.89,,,,,,,,,,,,,,,,
 17:24:34.962,COM16,, -0.042, -0.022, 1.028, -2.563, 1.953, 68.970, 3.895, 2.395, 125.167, 47.887, -30.567, 21.940, 32.31,,,,,,,,,,,,,,,,
 17:24:34.975,COM13,, 0.066, -1.097, -0.059, 1.465, -6.165, 0.610, -1.780, 1.148, 49.296, 1.920, -12.640, 110.027, 31.41,,,,,,,,,,,,,,,,
 17:24:35.011,COM14,, 0.104, -0.017, 0.984, 1.770, -0.183, 2.502, -1.291, 0.665, -7.328, 9.467, 27.027, -19.793, 30.90,,,,,,,,,,,,,,,,
 17:24:35.056,COM13,, 0.000, -1.091, -0.187, -2.686, -3.174, -0.793, -1.555, 1.126, 50.021, 2.073, -13.100, 111.080, 31.36,,,,,,,,,,,,,,,,
