Time,Device name设备名称,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:04:57.953,WTCoupler_Out(f9:7a:4a:df:60:c4), 2015-1-1 0:21:16.300, 0.75, -0.765, 1.027, -6.531, -4.639, -71.594, -1.011, 3.153, 139.598, 33.516, -45.668, 5.292, 26.15, 0.19916, 0.00198, 0.0455, 0.97885,
 17:04:57.956,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:21:12.085, 0.502, -0.464, 0.846, 1.526, -1.038, -77.087, 0.302, 3.285, -72.691, 23.814, 3190.978, 58.604, 23.12, 0.71701, -0.01071, -0.00171, -0.6969,
 17:04:57.956,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:21:12.085, 0.677, -0.41, 1.047, -0.854, 0, -85.205, 0.011, 3.153, -74.301, 23.814, 3190.978, 58.604, 23.12, 0.71701, -0.01071, -0.00171, -0.6969,
 17:04:57.959,WTCrank(c3:a3:c5:ed:f8:8e), 2015-1-1 0:21:12.135, 0.419, -1.255, -0.18, 8.85, -185.913, -9.033, 1.5, -6.394, 85.056, 21.266, 68.600, 6.958, 25.09, 0.16422, -0.18652, 0.72925, -0.63742,
 17:04:57.983,WTCoupler_Out(f9:7a:4a:df:60:c4), 2015-1-1 0:21:16.300, 0.627, -0.53, 1.071, -2.991, -4.883, -91.248, -2.137, 2.384, 135.302, 33.516, -45.668, 5.292, 26.15, 0.19916, 0.00198, 0.0455, 0.97885,
 17:04:57.985,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:21:12.085, 0.775, -0.317, 1.029, 1.465, -0.671, -89.6, -0.313, 2.972, -76.053, 23.814, 3190.978, 58.604, 23.12, 0.71701, -0.01071, -0.00171, -0.6969,
 17:04:57.985,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:21:12.085, 0.714, -0.289, 0.969, -0.305, -1.221, -93.689, -0.61, 2.719, -77.904, 23.814, 3190.978, 58.604, 23.12, 0.71701, -0.01071, -0.00171, -0.6969,
 17:04:58.016,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:21:12.085, 0.685, -0.181, 1.018, 0.366, 0.183, -96.252, -0.912, 2.395, -79.827, 23.814, 3190.978, 58.604, 23.12, 0.71701, -0.01071, -0.00171, -0.6969,
 17:04:58.016,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:21:12.085, 0.558, -0.123, 1.083, -0.305, -1.221, -96.802, -1.176, 2.038, -81.799, 23.814, 3190.978, 58.604, 23.12, 0.71701, -0.01071, -0.00171, -0.6969,
 17:04:58.047,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:21:12.085, 0.463, -0.125, 0.871, -0.183, 0.305, -96.069, -1.412, 1.631, -83.765, 23.814, 3190.978, 58.604, 23.12, 0.71701, -0.01071, -0.00171, -0.6969,
