Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(?t),Magnetic field Y(?t),Magnetic field Z(?t),Temperature(?),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 16:28:55.281,d2:d6:ae:79:8c:70, 2015-01-01 00:03:19.730,-0.042,-0.057,0.977,-0.671,-0.916,-75.5,-0.533,-0.786,-36.381,23.814,3190.978,58.604,23.07,0.99744,-0.00388,-0.0152,-0.06918
 16:28:55.283,d2:d6:ae:79:8c:70, 2015-01-01 00:03:19.730,-0.035,-0.038,1.008,-0.732,-0.305,-74.646,-0.527,-0.769,-37.875,23.814,3190.978,58.604,23.07,0.99744,-0.00388,-0.0152,-0.06918
 16:28:55.284,d2:5a:50:4a:21:12, 2015-01-01 00:03:24.100,-0.011,0.081,0.902,0.977,-0.244,6.958,-0.115,-1.274,-22.451,0,-3211.264,0,25.64,0.98325,0.0206,-0.02713,-0.17886
 16:28:55.284,d2:5a:50:4a:21:12, 2015-01-01 00:03:24.100,0.005,0.108,1.062,1.404,0.671,12.024,-0.104,-1.291,-22.291,0,-3211.264,0,25.64,0.98325,0.0206,-0.02713,-0.17886
 16:28:55.284,ef:e4:2c:bf:73:a9, 2015-01-01 00:03:23.060,0.142,-0.018,0.999,6.165,0.061,129.822,-3.664,-4.378,46.582,0,-3211.264,0,23.88,0.99887,0.00693,-0.02527,0.03851
 16:28:55.284,ef:e4:2c:bf:73:a9, 2015-01-01 00:03:23.060,0.152,0.041,0.953,6.104,-1.709,132.812,-3.746,-4.444,49.208,0,-3211.264,0,23.88,0.99887,0.00693,-0.02527,0.03851
 16:28:55.311,d2:5a:50:4a:21:12, 2015-01-01 00:03:24.100,0.036,0.141,0.923,2.014,0.671,16.174,-0.082,-1.291,-22.033,0,-3211.264,0,25.64,0.98325,0.0206,-0.02713,-0.17886
 16:28:55.311,d2:5a:50:4a:21:12, 2015-01-01 00:03:24.100,-0.005,0.116,1.038,2.258,1.038,21.057,-0.044,-1.285,-21.693,0,-3211.264,0,25.64,0.98325,0.0206,-0.02713,-0.17886
 16:28:55.333,c3:a3:c5:ed:f8:8e, 2015-01-01 00:03:24.705,-0.131,1.294,1.974,-5.188,-4.761,1.587,-5.12,11.19,-22.368,0,-3211.264,0,24.44,0.96341,0.19974,0.06409,-0.1665
 16:28:55.333,c3:a3:c5:ed:f8:8e, 2015-01-01 00:03:24.705,-0.201,1.324,1.969,7.69,5.737,6.897,-4.894,11.102,-22.231,0,-3211.264,0,24.44,0.96341,0.19974,0.06409,-0.1665
 16:28:55.333,c3:a3:c5:ed:f8:8e, 2015-01-01 00:03:24.705,-0.161,1.326,1.96,2.747,1.709,12.024,-4.653,10.97,-22,0,-3211.264,0,24.44,0.96341,0.19974,0.06409,-0.1665
 16:28:55.333,c3:a3:c5:ed:f8:8e, 2015-01-01 00:03:24.705,-0.147,1.316,1.984,-4.7,-4.883,16.113,-4.543,10.701,-21.736,0,-3211.264,0,24.44,0.96341,0.19974,0.06409,-0.1665
 16:28:55.338,d2:d6:ae:79:8c:70, 2015-01-01 00:03:19.730,-0.04,-0.016,1.021,0,-0.549,-72.754,-0.511,-0.753,-39.331,23.814,3190.978,58.604,23.07,0.94571,-0.00778,-0.01361,-0.32452
 16:28:55.338,d2:d6:ae:79:8c:70, 2015-01-01 00:03:19.730,-0.025,-0.045,1.007,-1.526,-3.784,-71.777,-0.516,-0.802,-40.765,23.814,3190.978,58.604,23.07,0.94571,-0.00778,-0.01361,-0.32452
 16:28:55.343,ef:e4:2c:bf:73:a9, 2015-01-01 00:03:23.060,0.169,0.006,0.981,6.226,-2.747,133.85,-3.829,-4.543,51.888,0,-3211.264,0,23.88,0.90347,0.01938,-0.03494,0.42667
 16:28:55.343,ef:e4:2c:bf:73:a9, 2015-01-01 00:03:23.060,0.188,-0.021,0.982,6.897,-3.784,136.169,-3.917,-4.658,54.608,0,-3211.264,0,23.88,0.90347,0.01938,-0.03494,0.42667
 16:28:55.363,c3:a3:c5:ed:f8:8e, 2015-01-01 00:03:24.705,-0.215,1.325,1.971,2.991,1.648,20.996,-4.334,10.459,-21.357,0,-3211.264,0,24.44,0.96341,0.19974,0.06409,-0.1665
 16:28:55.363,c3:a3:c5:ed:f8:8e, 2015-01-01 00:03:24.705,-0.24,1.387,1.987,8.362,5.493,25.94,-3.988,10.261,-20.858,0,-3211.264,0,24.44,0.96341,0.19974,0.06409,-0.1665
 16:28:55.368,d2:d6:ae:79:8c:70, 2015-01-01 00:03:20.120,-0.066,-0.033,1.007,0.61,4.333,-69.153,-0.489,-0.687,-42.149,23.814,3190.978,58.604,23.07,0.94571,-0.00778,-0.01361,-0.32452
 16:28:55.368,d2:d6:ae:79:8c:70, 2015-01-01 00:03:20.120,-0.053,-0.019,1.009,-0.366,-1.221,-67.871,-0.478,-0.676,-43.506,23.814,3190.978,58.604,23.07,0.94571,-0.00778,-0.01361,-0.32452
 16:28:55.372,d2:5a:50:4a:21:12, 2015-01-01 00:03:24.100,-0.027,0.167,0.982,2.258,0.488,26.123,0,-1.285,-21.253,0,-3211.264,0,25.64,0.98325,0.0206,-0.02713,-0.17886
 16:28:55.372,d2:5a:50:4a:21:12, 2015-01-01 00:03:24.100,-0.019,0.211,1.016,1.343,2.075,31.006,0.044,-1.285,-20.715,0,-3211.264,0,25.64,0.98325,0.0206,-0.02713,-0.17886
 16:28:55.373,ef:e4:2c:bf:73:a9, 2015-01-01 00:03:23.060,0.208,0.025,1.007,6.775,-2.747,138.733,-4.01,-4.774,57.371,0,-3211.264,0,23.88,0.90347,0.01938,-0.03494,0.42667
 16:28:55.373,ef:e4:2c:bf:73:a9, 2015-01-01 00:03:23.060,0.168,0.033,1.021,6.226,-2.014,140.442,-4.103,-4.867,60.178,0,-3211.264,0,23.88,0.90347,0.01938,-0.03494,0.42667
 16:28:55.394,c3:a3:c5:ed:f8:8e, 2015-01-01 00:03:24.705,-0.196,1.418,1.982,0.061,-0.061,30.945,-3.724,9.97,-20.292,0,-3211.264,0,24.44,0.96341,0.19974,0.06409,-0.1665
 16:28:55.394,c3:a3:c5:ed:f8:8e, 2015-01-01 00:03:24.705,-0.206,1.343,1.957,-0.366,1.038,35.583,-3.499,9.641,-19.644,0,-3211.264,0,24.44,0.96341,0.19974,0.06409,-0.1665
 16:28:55.404,ef:e4:2c:bf:73:a9, 2015-01-01 00:03:23.450,0.197,0.009,1,7.202,-1.038,141.235,-4.208,-4.944,63.012,0,-3211.264,0,23.88,0.90347,0.01938,-0.03494,0.42667
