Time,Device name设备名称,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 16:56:47.778,WTCoupler_Out(f9:7a:4a:df:60:c4), 2015-1-1 0:13:8.325, -0.121, 0.069, 1.048, 1.099, -0.305, -77.942, -4.312, -1.143, 117.098, 38.416, -36.652, 0.294, 26.29, 0.53299, -0.00385, -0.0351, 0.84531,
 16:56:47.781,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.14, -0.045, 1.028, 1.221, -0.244, -79.224, -2.12, -0.637, -41.814, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:47.781,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.084, -0.017, 0.92, -0.061, -1.221, -75.134, -2.142, -0.934, -43.33, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:47.839,WTCoupler_Out(f9:7a:4a:df:60:c4), 2015-1-1 0:13:8.325, -0.108, 0.089, 1.01, 5.188, 0.061, -69.336, -4.213, -1.609, 113.928, 38.416, -36.652, 0.294, 26.29, 0.53299, -0.00385, -0.0351, 0.84531,
 16:56:47.841,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.11, -0.088, 1.111, 0.183, -0.732, -72.388, -2.148, -1.187, -44.797, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:47.841,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.101, -0.003, 1.088, 2.075, -2.014, -70.068, -2.104, -1.439, -46.214, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:47.843,WTCrank(c3:a3:c5:ed:f8:8e), 2015-1-1 0:13:5.975, 0.122, -1.006, 0.131, -2.319, -120.85, 0.549, -6.833, -7.795, 140.922, 22.736, 78.400, 21.560, 25.02, 0.72513, -0.66489, 0.1568, -0.08621,
 16:56:47.846,WTRocker(e2:c7:f5:e1:23:63), 2015-1-1 0:13:0.380, 0.013, 0.004, 1.039, -0.977, -0.671, -74.951, -0.121, -0.797, 144.965, 24.402, -6.664, -80.066, 22.44, 0.31793, -0.00769, 0.00732, 0.948,
 16:56:47.870,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.08, -0.049, 0.967, -0.122, -0.244, -67.017, -2.093, -1.637, -47.571, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:47.870,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.059, -0.079, 0.859, 0.244, -0.671, -64.026, -2.071, -1.829, -48.867, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:47.899,WTCoupler_Out(f9:7a:4a:df:60:c4), 2015-1-1 0:13:8.325, -0.1, -0.004, 0.993, 3.418, 1.953, -61.523, -4.098, -1.906, 111.138, 38.416, -36.652, 0.294, 26.29, 0.53299, -0.00385, -0.0351, 0.84531,
 16:56:47.901,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.065, -0.143, 1.184, 1.404, -1.16, -62.561, -2.032, -2.005, -50.136, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:47.901,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.048, -0.038, 0.887, -0.244, -1.892, -58.411, -2.021, -2.181, -51.317, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:47.929,WTCoupler_Out(f9:7a:4a:df:60:c4), 2015-1-1 0:13:8.325, -0.018, 0.042, 1.005, -3.845, -6.409, -54.993, -3.955, -2.098, 108.754, 38.416, -36.652, 0.294, 26.29, 0.53299, -0.00385, -0.0351, 0.84531,
 16:56:47.931,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.032, -0.043, 0.773, 0.732, -1.465, -55.603, -1.989, -2.335, -52.443, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:47.931,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.038, -0.141, 1.182, 1.404, -0.61, -52.856, -1.945, -2.455, -53.52, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:47.933,WTCrank(c3:a3:c5:ed:f8:8e), 2015-1-1 0:13:5.975, 0.111, -1.008, 0.012, 2.93, -109.07, -1.648, -7.861, -6.773, 150.59, 22.736, 78.400, 21.560, 25.02, 0.72513, -0.66489, 0.1568, -0.08621,
 16:56:47.936,WTRocker(e2:c7:f5:e1:23:63), 2015-1-1 0:13:0.380, 0, -0.093, 0.978, -0.244, 2.258, -82.703, -0.148, -1.154, 136.379, 24.402, -6.664, -80.066, 22.44, 0.31793, -0.00769, 0.00732, 0.948,
 16:56:47.958,WTCoupler_Out(f9:7a:4a:df:60:c4), 2015-1-1 0:13:8.325, -0.149, -0.013, 0.942, -2.747, -7.446, -45.898, -3.675, -2.104, 106.798, 38.416, -36.652, 0.294, 26.29, 0.53299, -0.00385, -0.0351, 0.84531,
 16:56:47.969,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.034, -0.068, 1.115, -0.061, -2.502, -49.133, -1.934, -2.593, -54.514, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:47.969,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.105, -0.073, 0.882, 2.197, -3.052, -46.082, -1.873, -2.73, -55.448, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:47.992,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.036, -0.115, 1.146, 1.099, -0.854, -42.969, -1.84, -2.818, -56.327, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:47.992,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.034, -0.096, 0.862, 0.122, -1.587, -38.513, -1.835, -2.911, -57.112, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:48.022,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.081, -0.056, 0.94, 0.793, -2.38, -35.522, -1.813, -3.01, -57.838, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:48.022,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.036, -0.115, 0.984, 1.953, -0.549, -32.043, -1.769, -3.071, -58.491, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:48.049,WTCoupler_Out(f9:7a:4a:df:60:c4), 2015-1-1 0:13:8.325, -0.132, 0.108, 0.992, 1.099, -1.221, -37.415, -3.411, -2.104, 105.276, 38.416, -36.652, 0.294, 26.29, 0.59631, 0.00189, -0.03568, 0.80188,
 16:56:48.054,WTCrank(c3:a3:c5:ed:f8:8e), 2015-1-1 0:13:5.975, 0.207, -0.988, -0.001, -1.282, -109.863, -2.38, -8.718, -5.576, 159.78, 22.736, 78.400, 21.560, 25.02, 0.72513, -0.66489, 0.1568, -0.08621,
 16:56:48.056,WTRocker(e2:c7:f5:e1:23:63), 2015-1-1 0:13:0.380, -0.014, -0.022, 1.041, -1.648, -0.183, -84.778, -0.187, -1.269, 127.886, 24.402, -6.664, -80.066, 22.44, 0.31793, -0.00769, 0.00732, 0.948,
 16:56:48.079,WTCoupler_Out(f9:7a:4a:df:60:c4), 2015-1-1 0:13:8.325, -0.043, 0.175, 1.025, 1.343, -0.671, -25.635, -3.192, -2.065, 104.233, 38.416, -36.652, 0.294, 26.29, 0.59631, 0.00189, -0.03568, 0.80188,
 16:56:48.082,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, -0.003, -0.067, 1.001, 0, -0.793, -26.672, -1.774, -3.126, -59.041, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:48.093,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.085, -0.043, 1.065, 1.038, -2.197, -23.071, -1.752, -3.197, -59.513, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:48.114,WTCrank(c3:a3:c5:ed:f8:8e), 2015-1-1 0:13:5.975, 0.199, -1.012, -0.062, 2.38, -118.896, 0.427, -9.531, -4.197, 169.239, 22.736, 78.400, 21.560, 25.02, 0.72513, -0.66489, 0.1568, -0.08621,
 16:56:48.138,WTCoupler_Out(f9:7a:4a:df:60:c4), 2015-1-1 0:13:8.325, -0.068, 0.211, 0.981, 2.686, -0.427, -17.517, -2.917, -1.945, 103.716, 38.416, -36.652, 0.294, 26.29, 0.59631, 0.00189, -0.03568, 0.80188,
 16:56:48.141,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.06, -0.069, 0.811, 2.319, -0.916, -18.738, -1.708, -3.241, -59.903, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:48.141,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.021, -0.057, 1.084, -0.671, -0.061, -12.878, -1.73, -3.263, -60.178, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:48.147,WTRocker(e2:c7:f5:e1:23:63), 2015-1-1 0:13:0.380, -0.009, -0.014, 1, -0.305, 0.244, -85.693, -0.154, -1.241, 119.658, 24.402, -6.664, -80.066, 22.44, 0.31793, -0.00769, 0.00732, 0.948,
 16:56:48.168,WTCoupler_Out(f9:7a:4a:df:60:c4), 2015-1-1 0:13:8.325, -0.083, 0.229, 0.975, 1.648, -1.465, -2.747, -2.62, -1.752, 103.799, 38.416, -36.652, 0.294, 26.29, 0.59631, 0.00189, -0.03568, 0.80188,
 16:56:48.171,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.103, -0.055, 1.009, 1.343, -1.465, -8.545, -1.714, -3.301, -60.359, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:48.171,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:5.360, 0.1, -0.035, 0.816, 1.648, -0.488, -3.784, -1.692, -3.323, -60.452, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:48.203,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:6.550, 0.025, -0.002, 1.224, 0.427, -0.427, 2.502, -1.692, -3.34, -60.414, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:48.203,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:6.550, 0.111, -0.05, 0.839, 1.282, -0.244, 8.728, -1.675, -3.345, -60.255, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:48.235,WTCrank(c3:a3:c5:ed:f8:8e), 2015-1-1 0:13:5.975, 0.285, -1, -0.12, -2.502, -135.437, -3.479, -10.426, -2.593, 179.594, 22.736, 78.400, 21.560, 25.02, 0.72513, -0.66489, 0.1568, -0.08621,
 16:56:48.260,WTCoupler_Out(f9:7a:4a:df:60:c4), 2015-1-1 0:13:8.325, -0.222, 0.195, 1.001, -0.916, -1.892, 9.705, -2.258, -1.483, 104.529, 38.416, -36.652, 0.294, 26.29, 0.59631, 0.00189, -0.03568, 0.80188,
 16:56:48.262,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:6.550, 0.075, 0.041, 1.215, -1.038, -0.732, 14.526, -1.708, -3.356, -59.974, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:48.262,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:6.550, 0.056, -0.001, 0.873, 2.075, 0.061, 21.606, -1.675, -3.351, -59.557, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:48.266,WTRocker(e2:c7:f5:e1:23:63), 2015-1-1 0:13:0.380, -0.014, -0.046, 1.034, -0.183, -0.061, -84.412, -0.126, -1.329, 111.775, 24.402, -6.664, -80.066, 22.44, 0.31793, -0.00769, 0.00732, 0.948,
 16:56:48.288,WTCoupler_Out(f9:7a:4a:df:60:c4), 2015-1-1 0:13:8.325, -0.202, 0.445, 0.985, 9.094, 5.615, 31.25, -1.802, -1.121, 106.078, 38.416, -36.652, 0.294, 26.29, 0.59631, 0.00189, -0.03568, 0.80188,
 16:56:48.292,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:6.550, 0.06, 0.04, 0.945, 0.183, 0.732, 29.297, -1.686, -3.323, -58.986, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:48.292,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:6.550, 0.066, 0.071, 1.099, 2.014, 0.61, 36.133, -1.653, -3.29, -58.277, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:48.320,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:6.550, 0.022, 0.077, 0.887, -0.305, -0.671, 43.884, -1.664, -3.274, -57.415, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:48.320,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:6.550, 0.017, 0.124, 1.019, 1.892, 1.16, 51.758, -1.626, -3.214, -56.393, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
 16:56:48.322,WTCrank(c3:a3:c5:ed:f8:8e), 2015-1-1 0:13:5.975, 0.375, -0.991, -0.191, -2.869, -164.429, -1.77, -11.316, -0.615, -168.3, 22.736, 78.400, 21.560, 25.02, 0.72513, -0.66489, 0.1568, -0.08621,
 16:56:48.326,WTRocker(e2:c7:f5:e1:23:63), 2015-1-1 0:13:0.380, -0.04, -0.044, 1.041, -0.122, -3.784, -83.374, -0.071, -1.296, 104.238, 24.402, -6.664, -80.066, 22.44, 0.31793, -0.00769, 0.00732, 0.948,
 16:56:48.349,WTCoupler_Out(f9:7a:4a:df:60:c4), 2015-1-1 0:13:8.325, -0.245, 0.373, 0.981, -8.484, -5.005, 45.288, -1.527, -0.873, 108.484, 38.416, -36.652, 0.294, 26.29, 0.59631, 0.00189, -0.03568, 0.80188,
 16:56:48.351,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:13:6.550, -0.066, 0.197, 0.957, 0.305, 0.183, 68.665, -1.599, -3.148, -55.151, 23.814, 3190.978, 58.604, 23.24, 0.93256, -0.0257, 0.00772, -0.35986,
