Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:34:41.153,COM16,, -0.104, -0.054, 1.037, -2.197, -0.916, 91.248, 3.120, -1.917, -93.708, -7.613, 3.840, -0.167, 33.80,,,,,,,,,,,,,,,,
 17:34:41.153,COM13,, 0.011, -1.055, -0.024, 0.977, 57.495, 3.235, 3.691, 1.318, 31.525, -13.633, -14.793, 111.087, 32.32,,,,,,,,,,,,,,,,
 17:34:41.182,COM14,, -0.043, 0.059, 1.015, -2.869, 2.380, -54.443, 1.769, 1.890, -46.379, -18.727, 14.547, -11.860, 32.08,,,,,,,,,,,,,,,,
 17:34:41.260,COM13,, 0.025, -1.063, -0.024, 1.160, 50.354, 2.380, 3.543, 1.796, 25.576, -13.493, -13.880, 108.460, 32.35,,,,,,,,,,,,,,,,
 17:34:41.288,COM14,, -0.038, 0.049, 0.976, -4.150, 1.892, -46.814, 1.505, 2.521, -52.520, -20.333, 12.733, -12.047, 32.08,,,,,,,,,,,,,,,,
 17:34:41.367,COM13,, 0.021, -1.057, -0.091, 0.671, 40.283, 2.625, 3.263, 2.032, 20.204, -14.053, -12.780, 108.447, 32.28,,,,,,,,,,,,,,,,
 17:34:41.419,COM14,, -0.057, 0.037, 0.896, -3.723, 1.953, -34.729, 1.258, 3.021, -57.920, -20.560, 10.860, -12.167, 32.12,,,,,,,,,,,,,,,,
 17:34:41.446,COM13,, 0.080, -1.052, -0.153, -0.366, 26.672, 2.014, 2.867, 2.142, 15.656, -15.773, -12.347, 106.340, 32.33,,,,,,,,,,,,,,,,
 17:34:41.481,COM14,, -0.085, 0.014, 1.022, -2.563, 1.587, -16.785, 1.022, 3.411, -62.243, -22.380, 9.340, -12.580, 32.05,,,,,,,,,,,,,,,,
 17:34:41.560,COM13,, 0.096, -1.053, -0.247, -2.563, 5.005, -0.427, 2.307, 2.170, 12.316, -13.947, -11.800, 106.213, 32.33,,,,,,,,,,,,,,,,
 17:34:41.587,COM14,, -0.005, -0.028, 0.975, -1.282, 0.305, 6.287, 0.890, 3.713, -65.143, -23.953, 8.913, -13.080, 32.07,,,,,,,,,,,,,,,,
 17:34:41.662,COM13,, 0.165, -1.043, -0.361, -3.052, -21.851, -0.549, 1.461, 2.005, 10.778, -13.687, -11.873, 106.340, 32.34,,,,,,,,,,,,,,,,
 17:34:41.694,COM14,, 0.014, -0.123, 0.976, 0.793, -0.977, 36.804, 0.764, 3.834, -65.967, -26.520, 9.040, -13.780, 32.06,,,,,,,,,,,,,,,,
 17:34:41.768,COM13,, 0.360, -1.044, -0.406, 2.563, -50.537, 2.014, 0.445, 1.615, 11.651, -12.213, -12.373, 106.753, 32.31,,,,,,,,,,,,,,,,
 17:34:41.800,COM14,, 0.306, -0.250, 0.987, 0.061, -1.587, 55.542, 0.505, 3.730, -64.314, -31.000, 9.367, -16.147, 32.08,,,,,,,,,,,,,,,,
 17:34:41.850,COM13,, 0.211, -1.088, -0.234, -3.906, -56.946, -7.629, -0.643, 1.055, 15.579, -12.380, -12.447, 106.747, 32.31,,,,,,,,,,,,,,,,
 17:34:41.881,COM14,, 0.166, -0.139, 0.974, 0.793, -2.014, 57.251, 0.159, 3.351, -60.320, -38.700, 11.307, -22.020, 32.08,,,,,,,,,,,,,,,,
 17:34:41.937,COM16,, -0.076, -0.011, 0.984, -2.502, -2.686, 92.468, 2.494, -1.785, -83.205, -9.380, 3.700, -3.347, 33.80,,,,,,,,,,,,,,,,
 17:34:41.956,COM13,, 0.137, -1.061, -0.284, -6.470, -63.049, -7.996, -1.401, 0.253, 21.028, -10.487, -12.553, 106.347, 32.31,,,,,,,,,,,,,,,,
 17:34:41.986,COM14,, 0.099, -0.204, 0.958, 2.502, -2.930, 67.078, -0.236, 2.719, -55.953, -47.453, 14.360, -34.307, 32.03,,,,,,,,,,,,,,,,
 17:34:41.991,COM16,, -0.106, 0.000, 0.942, -3.235, -4.272, 98.633, 2.098, -1.483, -73.954, -9.540, 1.567, -6.613, 33.82,,,,,,,,,,,,,,,,
 17:34:42.041,COM16,, -0.139, 0.026, 1.004, -4.639, -0.610, 110.352, 1.967, -1.044, -66.050, -7.753, -2.913, -5.700, 33.82,,,,,,,,,,,,,,,,
 17:34:42.053,COM13,, 0.165, -1.059, -0.118, 0.854, -67.993, -2.319, -2.076, -0.236, 26.873, -9.973, -12.207, 106.620, 32.34,,,,,,,,,,,,,,,,
 17:34:42.064,COM16,, -0.195, 0.102, 0.956, -4.944, -0.061, 127.686, 2.000, -0.626, -59.766, -2.700, -8.040, -0.260, 33.84,,,,,,,,,,,,,,,,
 17:34:42.071,COM16,, -0.236, 0.063, 1.019, -5.066, 0.305, 149.597, 1.560, -0.445, -54.240, 6.300, -12.580, 7.227, 33.84,,,,,,,,,,,,,,,,
 17:34:42.074,COM16,, -0.286, -0.158, 1.053, -4.883, -1.831, 160.339, 0.720, -0.148, -41.913, 19.920, -14.560, 16.553, 33.83,,,,,,,,,,,,,,,,
 17:34:42.077,COM16,, -0.200, -0.116, 1.025, -2.502, -7.507, 134.644, 0.181, 0.720, -19.682, 35.013, -14.193, 25.073, 33.83,,,,,,,,,,,,,,,,
 17:34:42.086,COM16,, -0.208, 0.061, 0.984, -3.906, -1.221, 132.141, -0.016, 1.516, 0.840, 46.940, -12.360, 30.567, 33.83,,,,,,,,,,,,,,,,
 17:34:42.094,COM16,, -0.193, -0.067, 1.073, -2.686, -3.906, 130.920, 0.165, 2.280, 18.583, 54.353, -11.813, 32.133, 33.81,,,,,,,,,,,,,,,,
 17:34:42.118,COM14,, 0.083, -0.193, 0.927, 1.282, -1.953, 71.411, -0.500, 2.258, -51.202, -52.327, 19.473, -54.727, 32.08,,,,,,,,,,,,,,,,
 17:34:42.137,COM16,, -0.202, 0.059, 1.043, -2.930, -5.737, 131.348, 0.703, 3.318, 35.898, 58.987, -12.567, 31.620, 33.80,,,,,,,,,,,,,,,,
 17:34:42.159,COM13,, 0.095, -1.072, -0.189, 0.916, -70.618, -2.747, -2.626, -0.461, 33.563, -8.720, -11.887, 107.847, 32.32,,,,,,,,,,,,,,,,
 17:34:42.200,COM14,, 0.088, -0.186, 0.969, 1.953, -2.197, 70.618, -0.764, 1.950, -45.873, -47.700, 26.240, -80.333, 32.12,,,,,,,,,,,,,,,,
 17:34:42.266,COM13,, 0.090, -0.984, -0.098, -1.953, -68.970, -5.554, -2.955, -0.538, 40.594, -6.260, -12.233, 108.773, 32.27,,,,,,,,,,,,,,,,
 17:34:42.283,COM14,, 0.123, -0.160, 1.116, 2.930, -2.502, 67.993, -1.016, 1.730, -40.254, -27.540, 34.333, -99.547, 32.07,,,,,,,,,,,,,,,,
 17:34:42.290,COM16,, -0.212, -0.029, 0.920, -2.930, -2.258, 130.249, 1.505, 4.268, 52.399, 61.447, -14.320, 30.273, 33.81,,,,,,,,,,,,,,,,
 17:34:42.349,COM13,, -0.004, -1.014, -0.052, 5.493, -64.636, 2.136, -3.170, -0.461, 47.642, -4.360, -11.873, 109.753, 32.31,,,,,,,,,,,,,,,,
 17:34:42.389,COM16,, -0.172, -0.037, 0.928, -4.517, -1.648, 132.813, 2.433, 4.889, 68.209, 61.733, -17.440, 28.333, 33.84,,,,,,,,,,,,,,,,
 17:34:42.393,COM14,, 0.079, -0.203, 0.975, 1.770, -1.648, 60.730, -1.280, 1.582, -34.662, -0.307, 39.587, -100.020, 32.08,,,,,,,,,,,,,,,,
 17:34:42.455,COM13,, -0.074, -1.066, -0.056, 1.953, -52.795, 0.671, -3.477, -0.203, 54.327, -2.560, -11.973, 109.567, 32.34,,,,,,,,,,,,,,,,
 17:34:42.470,COM16,, -0.223, -0.054, 1.026, -7.690, 1.404, 128.479, 3.433, 5.389, 83.348, 60.980, -22.147, 26.467, 33.84,,,,,,,,,,,,,,,,
 17:34:42.499,COM14,, 0.069, -0.232, 0.954, 3.479, -0.793, 42.969, -1.417, 1.516, -29.498, 19.880, 40.800, -80.980, 32.08,,,,,,,,,,,,,,,,
 17:34:42.561,COM13,, -0.042, -1.055, -0.075, 2.014, -34.302, 0.122, -3.367, 0.005, 60.200, -0.720, -12.127, 109.247, 32.34,,,,,,,,,,,,,,,,
 17:34:42.598,COM14,, 0.078, -0.114, 0.957, 3.296, -1.099, 26.123, -1.544, 1.071, -20.402, 25.160, 37.840, -55.047, 32.07,,,,,,,,,,,,,,,,
 17:34:42.601,COM16,, -0.156, -0.025, 1.019, -4.944, -1.892, 123.169, 4.197, 5.812, 97.916, 57.893, -25.733, 24.687, 33.80,,,,,,,,,,,,,,,,
 17:34:42.659,COM16,, -0.179, -0.144, 1.137, -4.150, -1.465, 115.662, 4.938, 5.762, 111.220, 53.407, -28.260, 23.120, 33.81,,,,,,,,,,,,,,,,
 17:34:42.679,COM14,, 0.146, -0.004, 0.893, 2.441, -1.160, 12.390, -1.664, 0.736, -13.431, 19.713, 32.767, -34.213, 32.08,,,,,,,,,,,,,,,,
 17:34:42.692,COM13,, 0.050, -0.978, 0.111, 0.244, -18.494, -2.380, -2.983, 0.346, 64.314, -0.473, -12.267, 109.147, 32.32,,,,,,,,,,,,,,,,
 17:34:42.773,COM13,, -0.002, -1.049, -0.061, -2.502, -8.240, -2.380, -2.763, 0.703, 66.764, 1.473, -12.720, 109.087, 32.29,,,,,,,,,,,,,,,,
 17:34:42.786,COM14,, 0.094, -0.175, 0.958, 1.831, 2.197, 4.028, -1.736, 0.467, -8.800, 11.613, 28.113, -22.860, 32.09,,,,,,,,,,,,,,,,
 17:34:42.810,COM16,, -0.155, 0.005, 1.043, -5.432, -1.465, 111.694, 5.559, 5.521, 123.398, 48.987, -30.087, 21.960, 33.83,,,,,,,,,,,,,,,,
 17:34:42.856,COM13,, 0.031, -1.046, -0.034, 0.793, -0.305, 0.977, -2.433, 0.747, 67.972, 2.113, -13.013, 111.107, 32.32,,,,,,,,,,,,,,,,
 17:34:42.891,COM14,, 0.208, 0.058, 1.087, 0.366, -0.122, -0.610, -1.780, 0.176, -6.097, 5.480, 24.940, -17.487, 32.09,,,,,,,,,,,,,,,,
 17:34:42.911,COM16,, -0.140, 0.057, 0.895, -3.845, -0.793, 112.549, 6.075, 5.147, 134.412, 44.680, -30.380, 20.700, 33.82,,,,,,,,,,,,,,,,
 17:34:42.965,COM13,, 0.153, -1.081, -0.017, 1.892, 4.333, 1.099, -2.131, 0.709, 68.340, 2.027, -13.320, 111.773, 32.31,,,,,,,,,,,,,,,,
 17:34:42.998,COM14,, 0.147, -0.099, 0.916, -0.122, -0.549, -5.127, -1.659, -0.088, -4.785, 2.067, 22.820, -15.073, 32.10,,,,,,,,,,,,,,,,
 17:34:43.033,COM16,, -0.071, -0.016, 0.908, -3.601, -3.967, 113.525, 6.520, 4.625, 144.706, 39.800, -30.373, 19.533, 33.82,,,,,,,,,,,,,,,,
 17:34:43.036,COM16,, -0.173, 0.091, 1.021, -3.723, -2.136, 115.051, 6.872, 4.103, 154.633, 35.140, -29.820, 18.827, 33.82,,,,,,,,,,,,,,,,
 17:34:43.068,COM13,, 0.151, -1.048, 0.063, 6.287, 8.789, 2.991, -1.862, 0.467, 68.148, -0.127, -14.033, 111.287, 32.30,,,,,,,,,,,,,,,,
 17:34:43.080,COM14,, 0.135, -0.106, 0.914, 0.916, 0.427, -9.521, -1.489, -0.428, -4.411, 0.167, 21.020, -14.033, 32.13,,,,,,,,,,,,,,,,
 17:34:43.149,COM13,, 0.074, -1.055, 0.127, -0.549, 12.512, -1.038, -1.494, 0.132, 67.538, -0.120, -14.933, 112.240, 32.34,,,,,,,,,,,,,,,,
 17:34:43.194,COM14,, 0.132, 0.095, 0.926, 0.610, 0.000, -13.367, -1.241, -0.807, -4.763, -1.767, 20.820, -13.060, 32.09,,,,,,,,,,,,,,,,
 17:34:43.211,COM16,, -0.117, 0.014, 0.952, -3.357, -0.732, 118.652, 7.169, 3.532, 164.257, 30.087, -28.887, 17.960, 33.80,,,,,,,,,,,,,,,,
 17:34:43.253,COM16,, -0.142, -0.052, 0.957, -3.357, -1.282, 117.920, 7.344, 2.796, 173.749, 25.633, -26.247, 16.800, 33.80,,,,,,,,,,,,,,,,
 17:34:43.257,COM13,, 0.040, -1.044, 0.134, -3.784, 15.137, -3.296, -0.879, -0.280, 66.544, -0.567, -16.020, 112.793, 32.34,,,,,,,,,,,,,,,,
 17:34:43.301,COM14,, 0.128, 0.033, 1.073, -1.526, 0.244, -17.761, -0.824, -1.203, -5.729, -3.700, 21.180, -12.520, 32.06,,,,,,,,,,,,,,,,
 17:34:43.387,COM14,, 0.033, 0.239, 0.977, -1.282, -0.610, -22.339, -0.335, -1.527, -7.224, -5.100, 21.333, -12.073, 32.05,,,,,,,,,,,,,,,,
 17:34:43.432,COM16,, -0.186, -0.009, 1.019, -2.930, 0.122, 119.751, 7.366, 2.043, -177.012, 21.013, -24.180, 16.307, 33.81,,,,,,,,,,,,,,,,
 17:34:43.439,COM13,, 0.048, -1.060, 0.058, -2.930, 21.057, -2.258, -0.330, -0.626, 65.160, -1.327, -16.787, 114.640, 32.37,,,,,,,,,,,,,,,,
