Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:27:43.371,COM13,, -0.005, -1.002, -0.154, -0.977, -42.480, -1.465, -3.054, 0.214, 43.753, -1.973, -12.033, 109.553, 31.80,,,,,,,,,,,,,,,,
 17:27:43.443,COM14,, 0.062, -0.152, 0.935, 2.930, -0.244, 31.372, -1.500, 1.263, -27.966, 24.700, 39.947, -69.213, 31.40,,,,,,,,,,,,,,,,
 17:27:43.456,COM13,, -0.035, -1.014, -0.112, -0.061, -30.518, 0.427, -2.862, 0.396, 48.356, -0.927, -12.033, 109.280, 31.82,,,,,,,,,,,,,,,,
 17:27:43.575,COM14,, 0.036, -0.072, 0.952, 0.000, -0.244, 20.996, -1.533, 1.027, -20.385, 24.953, 36.640, -48.727, 31.41,,,,,,,,,,,,,,,,
 17:27:43.587,COM13,, -0.021, -1.029, -0.026, -6.897, -19.836, -4.333, -2.675, 0.703, 51.916, -0.233, -12.293, 109.380, 31.79,,,,,,,,,,,,,,,,
 17:27:43.587,COM16,, -0.090, 0.001, 0.937, -3.113, 0.732, 93.079, 2.000, 0.665, -61.282, 0.380, -10.573, 2.853, 33.09,,,,,,,,,,,,,,,,
 17:27:43.603,COM16,, -0.138, -0.010, 1.001, -5.188, 0.488, 102.844, 2.027, 0.791, -58.810, 8.773, -14.173, 8.833, 33.13,,,,,,,,,,,,,,,,
 17:27:43.607,COM16,, -0.153, 0.000, 0.986, -2.502, -0.732, 110.352, 1.741, 0.928, -55.025, 18.087, -14.580, 15.820, 33.13,,,,,,,,,,,,,,,,
 17:27:43.615,COM16,, -0.174, 0.005, 1.036, -3.052, -3.052, 113.159, 1.489, 1.099, -37.397, 28.693, -14.753, 22.413, 33.09,,,,,,,,,,,,,,,,
 17:27:43.622,COM16,, -0.184, -0.028, 1.047, -2.869, -1.831, 113.586, 1.335, 1.412, -19.753, 39.320, -13.787, 27.687, 33.07,,,,,,,,,,,,,,,,
 17:27:43.624,COM16,, -0.173, -0.027, 1.031, -2.747, -1.587, 111.450, 1.296, 1.818, -2.582, 47.700, -12.067, 31.167, 33.09,,,,,,,,,,,,,,,,
 17:27:43.627,COM16,, -0.144, -0.008, 0.998, -2.136, -2.075, 108.398, 1.401, 2.269, 13.744, 53.887, -11.673, 32.287, 33.09,,,,,,,,,,,,,,,,
 17:27:43.635,COM14,, 0.058, -0.106, 1.028, 0.000, 0.854, 11.292, -1.577, 0.862, -14.420, 19.687, 32.713, -33.080, 31.39,,,,,,,,,,,,,,,,
 17:27:43.652,COM13,, 0.027, -1.034, -0.019, -2.014, -9.827, -0.183, -2.362, 0.879, 54.377, -0.180, -12.280, 109.227, 31.79,,,,,,,,,,,,,,,,
 17:27:43.723,COM16,, -0.154, -0.063, 0.992, -2.380, -1.465, 104.492, 1.615, 2.681, 29.020, 58.553, -11.820, 32.200, 33.13,,,,,,,,,,,,,,,,
 17:27:43.738,COM16,, -0.125, -0.057, 0.928, -2.808, -2.380, 105.835, 1.961, 3.109, 43.297, 61.520, -13.647, 31.227, 33.11,,,,,,,,,,,,,,,,
 17:27:43.743,COM14,, 0.104, -0.033, 1.007, -0.427, -0.793, 7.690, -1.577, 0.698, -10.080, 13.313, 29.113, -23.907, 31.41,,,,,,,,,,,,,,,,
 17:27:43.757,COM13,, -0.060, -1.049, 0.007, -2.808, -7.019, -0.916, -2.131, 1.049, 55.876, 1.900, -12.527, 109.347, 31.80,,,,,,,,,,,,,,,,
 17:27:43.862,COM13,, 0.117, -1.043, -0.023, 2.197, -1.343, 2.808, -1.873, 1.077, 56.755, 2.093, -12.833, 109.353, 31.82,,,,,,,,,,,,,,,,
 17:27:43.877,COM14,, 0.073, -0.044, 1.016, 0.000, 0.488, 1.282, -1.582, 0.555, -7.174, 8.040, 26.260, -18.767, 31.39,,,,,,,,,,,,,,,,
 17:27:43.932,COM14,, 0.086, 0.042, 1.078, 0.244, 0.183, -1.709, -1.577, 0.401, -5.350, 4.107, 24.207, -15.793, 31.41,,,,,,,,,,,,,,,,
 17:27:43.964,COM13,, 0.084, -1.047, -0.042, -4.333, 1.709, -4.089, -1.807, 1.016, 57.085, 2.247, -13.167, 111.640, 31.78,,,,,,,,,,,,,,,,
 17:27:44.054,COM14,, 0.116, 0.172, 1.047, 0.793, -0.244, -4.211, -1.516, 0.209, -4.389, 1.820, 22.487, -14.400, 31.39,,,,,,,,,,,,,,,,
 17:27:44.070,COM13,, 0.102, -1.081, -0.064, -3.540, 3.784, -2.991, -1.604, 0.764, 57.085, 0.573, -13.747, 111.527, 31.82,,,,,,,,,,,,,,,,
 17:27:44.134,COM14,, 0.128, -0.060, 0.905, 1.099, 0.183, -6.042, -1.346, 0.027, -4.169, -0.107, 21.233, -13.453, 31.38,,,,,,,,,,,,,,,,
 17:27:44.151,COM13,, 0.103, -1.105, -0.208, 6.104, 6.348, 4.883, -1.269, 0.593, 56.766, -0.460, -14.233, 111.027, 31.75,,,,,,,,,,,,,,,,
 17:27:44.241,COM14,, 0.127, -0.046, 1.121, 0.916, 0.793, -8.911, -1.176, -0.209, -4.411, -2.000, 20.633, -12.927, 31.41,,,,,,,,,,,,,,,,
 17:27:44.259,COM13,, 0.020, -1.035, 0.085, -1.038, 9.033, -3.906, -0.967, 0.368, 56.206, 0.093, -15.153, 113.020, 31.79,,,,,,,,,,,,,,,,
 17:27:44.366,COM13,, 0.003, -1.055, 0.063, 1.221, 12.390, 1.587, -0.599, 0.082, 55.399, -0.327, -15.873, 112.767, 31.78,,,,,,,,,,,,,,,,
 17:27:44.372,COM14,, 0.027, 0.044, 0.859, 0.000, 0.183, -10.681, -0.912, -0.428, -5.026, -2.300, 20.913, -12.447, 31.43,,,,,,,,,,,,,,,,
 17:27:44.463,COM14,, 0.064, 0.058, 1.104, -0.610, 0.122, -13.306, -0.566, -0.665, -6.053, -3.733, 21.107, -12.133, 31.44,,,,,,,,,,,,,,,,
 17:27:44.471,COM13,, -0.073, -1.065, 0.162, -3.113, 12.878, -2.380, -0.181, -0.126, 54.371, -1.607, -16.613, 114.707, 31.84,,,,,,,,,,,,,,,,
 17:27:44.546,COM14,, 0.029, 0.088, 0.978, -1.465, -0.671, -15.442, -0.302, -0.780, -7.344, -5.240, 21.173, -11.893, 31.44,,,,,,,,,,,,,,,,
 17:27:44.552,COM13,, 0.075, -1.076, 0.018, 3.601, 15.808, 1.770, -0.022, -0.313, 53.163, -2.847, -17.540, 114.440, 31.81,,,,,,,,,,,,,,,,
