Time,Device name设备名称,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:47:37.649,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:24.100, 0.382, -0.917, 0.315, 88.684, -3.418, -6.409, -69.664, -20.193, 99.168, 84.280, -4.704, -26.852, 26.65, 0.64847, -0.04297, -0.34604, 0.67661,
 12:47:37.679,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.290, 0.39, -0.886, 0.419, 91.614, -3.54, -6.592, -65.402, -20.566, 99.223, 84.280, -4.704, -26.852, 26.65, 0.64847, -0.04297, -0.34604, 0.67661,
 12:47:37.706,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.045, -0.617, 0.77, 1.241, -5.737, 180.603, 1.282, 47.28, 3.576, 41.424, 27.440, 31.066, -48.216, 26.8, -0.7977, -0.42639, 0.42303, -0.05289,
 12:47:37.710,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.290, 0.396, -0.863, 0.499, 90.393, -3.54, -6.409, -61.089, -20.945, 99.267, 84.280, -4.704, -26.852, 26.65, 0.64847, -0.04297, -0.34604, 0.67661,
 12:47:37.738,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.045, -0.756, 0.765, 1.21, -5.798, 179.626, 1.221, 47.521, 10.893, 47.137, 27.440, 31.066, -48.216, 26.8, -0.7977, -0.42639, 0.42303, -0.05289,
 12:47:37.798,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.045, -0.858, 0.762, 1.068, -5.798, 180.42, 1.221, 48.488, 18.062, 52.899, 96.334, 38.612, -43.610, 26.8, -0.7977, -0.42639, 0.42303, -0.05289,
 12:47:37.800,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.290, 0.404, -0.826, 0.569, 88.44, -3.479, -6.287, -56.854, -21.313, 99.294, 84.280, -4.704, -26.852, 26.65, 0.64847, -0.04297, -0.34604, 0.67661,
 12:47:37.828,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.045, -0.995, 0.76, 0.981, -5.92, 184.814, 1.282, 50.312, 25.214, 59.178, 96.334, 38.612, -43.610, 26.8, -0.7977, -0.42639, 0.42303, -0.05289,
 12:47:37.829,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.290, 0.411, -0.794, 0.636, 87.708, -3.418, -6.348, -52.63, -21.671, 99.311, 84.280, -4.704, -26.852, 26.65, 0.64847, -0.04297, -0.34604, 0.67661,
 12:47:37.857,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.045, -1.056, 0.752, 0.86, -5.92, 185.608, 1.282, 53.196, 32.195, 66.226, 96.334, 38.612, -43.610, 26.8, -0.7977, -0.42639, 0.42303, -0.05289,
 12:47:37.889,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.290, 0.417, -0.75, 0.735, 80.566, -3.113, -5.798, -48.593, -22, 99.322, 84.280, -4.704, -26.852, 26.65, 0.64847, -0.04297, -0.34604, 0.67661,
 12:47:37.918,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.290, 0.424, -0.72, 0.786, 73.242, -2.869, -5.249, -44.901, -22.28, 99.322, 84.280, -4.704, -26.852, 26.65, 0.64847, -0.04297, -0.34604, 0.67661,
 12:47:37.947,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.045, -1.12, 0.751, 0.747, -5.92, 183.716, 1.221, 57.305, 38.71, 74.229, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
 12:47:37.977,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.045, -1.15, 0.752, 0.558, -5.859, 183.167, 1.282, 62.952, 44.588, 83.557, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
 12:47:38.009,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.290, 0.428, -0.681, 0.849, 61.035, -2.319, -4.333, -41.666, -22.511, 99.327, 84.280, -4.704, -26.852, 26.65, 0.64847, -0.04297, -0.34604, 0.67661,
 12:47:38.036,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.640, -1.154, 0.75, 0.367, -6.042, 182.922, 1.282, 70.527, 49.62, 94.675, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
 12:47:38.040,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.290, 0.431, -0.655, 0.889, 53.65, -2.014, -3.845, -38.886, -22.687, 99.333, 84.280, -4.704, -26.852, 26.65, 0.64847, -0.04297, -0.34604, 0.67661,
 12:47:38.066,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.640, -1.123, 0.749, 0.25, -5.859, 182.861, 1.282, 80.255, 53.443, 107.853, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
 12:47:38.069,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.290, 0.431, -0.626, 0.921, 40.039, -1.526, -2.93, -36.678, -22.813, 99.355, 84.280, -4.704, -26.852, 26.65, 0.64847, -0.04297, -0.34604, 0.67661,
 12:47:38.157,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.640, -1.081, 0.749, 0.055, -5.92, 184.326, 1.282, 91.95, 55.69, 122.97, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
 12:47:38.159,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.290, 0.432, -0.613, 0.931, 31.006, -1.221, -2.136, -34.991, -22.885, 99.393, 83.692, -2.940, -26.656, 26.65, 0.64847, -0.04297, -0.34604, 0.67661,
 12:47:38.189,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.290, 0.436, -0.596, 0.948, 17.151, -0.732, -1.099, -33.882, -22.917, 99.448, 83.692, -2.940, -26.656, 26.65, 0.65002, -0.03976, -0.34393, 0.67636,
 12:47:38.217,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.640, -0.99, 0.75, -0.074, -5.981, 185.303, 1.221, 104.711, 56.036, 139.18, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
 12:47:38.217,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.640, -0.905, 0.753, -0.226, -5.798, 180.664, 1.282, 116.851, 54.509, 154.039, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
 12:47:38.249,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.290, 0.436, -0.589, 0.947, 8.179, -0.488, -0.366, -33.3, -22.906, 99.525, 83.692, -2.940, -26.656, 26.65, 0.65002, -0.03976, -0.34393, 0.67636,
 12:47:38.280,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.290, 0.434, -0.589, 0.944, -3.113, 0.122, 0.488, -33.245, -22.852, 99.613, 83.692, -2.940, -26.656, 26.65, 0.65002, -0.03976, -0.34393, 0.67636,
 12:47:38.306,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.640, -0.77, 0.756, -0.336, -5.737, 178.528, 1.221, 127.134, 51.438, 166.448, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
 12:47:38.336,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.640, -0.679, 0.759, -0.484, -5.798, 181.702, 1.282, 135.396, 47.087, 176.803, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
 12:47:38.340,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.890, 0.433, -0.596, 0.935, -14.282, 0.549, 1.16, -33.657, -22.764, 99.712, 83.692, -2.940, -26.656, 26.65, 0.65002, -0.03976, -0.34393, 0.67636,
 12:47:38.398,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.640, -0.504, 0.761, -0.532, -5.859, 182.251, 1.282, 141.779, 41.748, -174.71, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
 12:47:38.400,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.890, 0.431, -0.604, 0.922, -21.24, 0.732, 1.526, -34.503, -22.654, 99.816, 83.692, -2.940, -26.656, 26.65, 0.65002, -0.03976, -0.34393, 0.67636,
 12:47:38.428,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.640, -0.379, 0.765, -0.618, -5.859, 181.396, 1.221, 146.464, 35.793, -167.904, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
 12:47:38.457,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.640, -0.181, 0.77, -0.658, -5.798, 179.565, 1.221, 149.793, 29.46, -162.405, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
 12:47:38.459,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.890, 0.428, -0.622, 0.903, -31.372, 1.099, 2.319, -35.75, -22.511, 99.926, 83.692, -2.940, -26.656, 26.65, 0.65002, -0.03976, -0.34393, 0.67636,
 12:47:38.488,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.890, 0.429, -0.637, 0.889, -37.72, 1.343, 2.686, -37.386, -22.346, 100.036, 83.692, -2.940, -26.656, 26.65, 0.65002, -0.03976, -0.34393, 0.67636,
 12:47:38.520,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.890, 0.424, -0.667, 0.867, -48.096, 1.648, 3.479, -39.408, -22.154, 100.14, 83.692, -2.940, -26.656, 26.65, 0.65002, -0.03976, -0.34393, 0.67636,
 12:47:38.547,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:25.640, -0.066, 0.775, -0.706, -5.737, 178.772, 1.16, 152.04, 22.901, -157.89, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
 12:47:38.606,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:26.270, 0.114, 0.778, -0.687, -5.798, 179.81, 1.221, 153.43, 16.117, -153.979, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
 12:47:38.609,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.890, 0.419, -0.689, 0.837, -55.542, 2.014, 3.906, -41.863, -21.934, 100.245, 83.692, -2.940, -26.656, 26.65, 0.65002, -0.03976, -0.34393, 0.67636,
 12:47:38.639,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.890, 0.416, -0.725, 0.784, -66.223, 2.441, 4.883, -44.753, -21.676, 100.338, 83.692, -2.940, -26.656, 26.65, 0.65002, -0.03976, -0.34393, 0.67636,
 12:47:38.667,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:26.270, 0.244, 0.783, -0.634, -5.737, 177.246, 1.221, 154.067, 9.234, -150.496, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
 12:47:38.667,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:26.270, 0.407, 0.787, -0.616, -5.676, 176.575, 1.16, 154.006, 2.406, -147.294, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
 12:47:38.699,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.890, 0.404, -0.749, 0.755, -74.219, 2.869, 5.249, -48.049, -21.39, 100.41, 83.398, 1.470, -24.402, 26.65, 0.65002, -0.03976, -0.34393, 0.67636,
 12:47:38.730,WT901BLE68(d2:5a:50:4a:21:12), 2015-1-1 0:26:25.890, 0.4, -0.786, 0.683, -87.219, 3.296, 6.165, -51.833, -21.066, 100.459, 83.398, 1.470, -24.402, 26.65, 0.65002, -0.03976, -0.34393, 0.67636,
 12:47:38.757,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:26.270, 0.51, 0.792, -0.528, -5.615, 177.551, 1.16, 153.27, -4.422, -144.086, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
 12:47:38.787,WT901BLE68(ef:e4:2c:bf:73:a9), 2015-1-1 0:26:26.270, 0.64, 0.795, -0.462, -5.737, 177.856, 1.16, 151.826, -11.206, -140.647, 96.334, 38.612, -43.610, 26.8, -0.80215, -0.14435, -0.41101, -0.40829,
