Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 11:24:12.649,ef:e4:2c:bf:73:a9, 2015-1-1 0:2:27.865, -0.102, 0.004, 0.968, 0.305, -37.72, 0, -89.995, -4.455, -5.834, 5.292, 76.048, -43.414, 23.63, 0.99271, 0.00714, 0.10864, -0.0509,
 11:24:12.680,ef:e4:2c:bf:73:a9, 2015-1-1 0:2:27.865, -0.059, 0.004, 0.971, 0.305, -37.231, 0, -89.978, -6.279, -5.812, 5.292, 76.048, -43.414, 23.63, 0.99271, 0.00714, 0.10864, -0.0509,
 11:24:12.710,ef:e4:2c:bf:73:a9, 2015-1-1 0:2:27.865, -0.024, 0.003, 0.976, 0.305, -37.476, 0, -89.962, -8.108, -5.79, 5.292, 76.048, -43.414, 23.63, 0.99271, 0.00714, 0.10864, -0.0509,
 11:24:12.801,ef:e4:2c:bf:73:a9, 2015-1-1 0:2:27.865, 0.008, 0.004, 0.978, 0.366, -36.316, 0, -89.945, -9.915, -5.762, -1.666, 75.656, -43.120, 23.63, 0.99841, 0.00351, 0.02338, -0.05002,
 11:24:12.830,ef:e4:2c:bf:73:a9, 2015-1-1 0:2:27.865, 0.03, 0.004, 0.981, 0.305, -33.997, 0, -89.929, -11.629, -5.724, -1.666, 75.656, -43.120, 23.63, 0.99841, 0.00351, 0.02338, -0.05002,
 11:24:12.891,ef:e4:2c:bf:73:a9, 2015-1-1 0:2:28.105, 0.072, 0.004, 0.981, 0.305, -33.081, 0, -89.918, -13.282, -5.685, -1.666, 75.656, -43.120, 23.63, 0.99841, 0.00351, 0.02338, -0.05002,
 11:24:12.919,ef:e4:2c:bf:73:a9, 2015-1-1 0:2:28.105, 0.092, 0.003, 0.981, 0.305, -30.579, 0, -89.901, -14.859, -5.641, -1.666, 75.656, -43.120, 23.63, 0.99841, 0.00351, 0.02338, -0.05002,
 11:24:13.040,ef:e4:2c:bf:73:a9, 2015-1-1 0:2:28.105, 0.118, 0.006, 0.981, 0.183, -28.259, 0, -89.885, -16.315, -5.592, -6.370, 75.460, -42.532, 23.63, 0.99841, 0.00351, 0.02338, -0.05002,
 11:24:13.040,ef:e4:2c:bf:73:a9, 2015-1-1 0:2:28.105, 0.14, 0.005, 0.981, 0.183, -25.635, 0, -89.874, -17.655, -5.537, -6.370, 75.460, -42.532, 23.63, 0.99841, 0.00351, 0.02338, -0.05002,
 11:24:13.099,ef:e4:2c:bf:73:a9, 2015-1-1 0:2:28.105, 0.162, 0.006, 0.98, 0.305, -23.621, 0, -89.863, -18.896, -5.482, -6.370, 75.460, -42.532, 23.63, 0.99829, 0.00131, -0.03177, -0.04816,
