Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 09:57:53.123,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:48.034, 0.074, -0.002, 0.982, 0.366, -34.79, 0,,,,,,, -90.247, -13.678, -13.947, 2.646, 66.150, -40.866, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
 09:57:53.153,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:48.034, 0.103, -0.002, 0.983, 0.305, -33.203, 0,,,,,,, -90.236, -15.348, -13.98, 2.646, 66.150, -40.866, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
 09:57:53.168,d2:5a:50:4a:21:12, 2024-09-04 09:57:48.051, 0.018, -0.032, 0.969, 0.244, 61.951, 0,,,,,,, 63.292, -17.452, 5.043, -41.454, 31.360, -11.564, 23.08, 0.84698, 0.03006, -0.52448, 0.08063,
 09:57:53.243,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:48.034, 0.129, 0, 0.982, 0.305, -30.457, 0,,,,,,, -90.22, -16.913, -14.008, 2.646, 66.150, -40.866, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
 09:57:53.259,d2:5a:50:4a:21:12, 2024-09-04 09:57:48.051, -0.095, -0.03, 0.976, 0.244, 61.646, 0,,,,,,, 63.347, -11.168, 5.251, -41.454, 31.360, -11.564, 23.08, 0.84698, 0.03006, -0.52448, 0.08063,
 09:57:53.274,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:48.034, 0.159, 0, 0.981, 0.305, -28.381, 0,,,,,,, -90.209, -18.375, -14.024, 2.646, 66.150, -40.866, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
 09:57:53.335,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:48.034, 0.173, 0, 0.979, 0.244, -25.452, 0,,,,,,, -90.198, -19.72, -14.035, 2.646, 66.150, -40.866, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
 09:57:53.364,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:48.034, 0.199, 0, 0.978, 0.244, -22.705, 0,,,,,,, -90.192, -20.929, -14.046, 2.646, 66.150, -40.866, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
 09:57:53.379,d2:5a:50:4a:21:12, 2024-09-04 09:57:48.051, -0.202, -0.031, 0.966, 0.244, 62.073, 0,,,,,,, 63.375, -4.889, 5.691, -41.454, 31.360, -11.564, 23.08, 0.84698, 0.03006, -0.52448, 0.08063,
 09:57:53.454,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:48.034, 0.208, 0.002, 0.975, 0.183, -19.531, 0,,,,,,, -90.181, -22, -14.057, 2.646, 66.150, -40.866, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
