Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 09:57:55.599,d2:5a:50:4a:21:12, 2024-09-04 09:57:50.431, -0.52, -0.025, -0.83, 0.183, 60.852, 0,,,,,,, -112.868, 41.364, 170.42, 37.534, 2.744, -8.624, 23.08, 0.70117, 0.15979, 0.67133, -0.17905,
 09:57:55.614,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.531, -0.004, 0.83, -0.183, 26.367, 0,,,,,,, -90.494, 15.419, -12.651, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.674,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.552, -0.004, 0.82, -0.183, 25.94, 0,,,,,,, -90.505, 16.71, -12.634, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.688,d2:5a:50:4a:21:12, 2024-09-04 09:57:50.431, -0.423, -0.025, -0.89, 0.244, 60.974, 0,,,,,,, -112.956, 35.189, 173.754, 37.534, 2.744, -8.624, 23.08, 0.70117, 0.15979, 0.67133, -0.17905,
 09:57:55.704,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.569, -0.005, 0.805, -0.244, 24.536, 0,,,,,,, -90.516, 17.952, -12.612, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.733,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.585, -0.005, 0.795, -0.183, 23.682, 0,,,,,,, -90.533, 19.149, -12.596, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.793,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.601, -0.004, 0.782, -0.183, 22.949, 0,,,,,,, -90.544, 20.303, -12.579, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.808,d2:5a:50:4a:21:12, 2024-09-04 09:57:50.431, -0.326, -0.025, -0.936, 0.183, 59.448, 0,,,,,,, -113.022, 29.081, 177.017, 37.534, 2.744, -8.624, 23.08, 0.70117, 0.15979, 0.67133, -0.17905,
 09:57:55.854,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.618, -0.005, 0.772, -0.183, 22.034, 0,,,,,,, -90.555, 21.423, -12.563, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.869,d2:5a:50:4a:21:12, 2024-09-04 09:57:50.431, -0.213, -0.026, -0.977, 0.244, 60.303, 0,,,,,,, -113.066, 22.983, -179.819, -1.176, 16.856, 62.328, 23.08, 0.70117, 0.15979, 0.67133, -0.17905,
 09:57:55.914,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.629, -0.005, 0.758, -0.183, 20.752, 0,,,,,,, -90.571, 22.489, -12.546, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.943,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.647, -0.005, 0.746, -0.244, 19.653, 0,,,,,,, -90.582, 23.5, -12.535, 11.662, 66.836, -37.240, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.973,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.658, -0.006, 0.737, -0.183, 18.921, 0,,,,,,, -90.599, 24.483, -12.524, 11.662, 66.836, -37.240, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.988,d2:5a:50:4a:21:12, 2024-09-04 09:57:50.431, -0.11, -0.026, -0.997, 0.183, 60.547, 0,,,,,,, -113.088, 16.897, -176.825, -1.176, 16.856, 62.328, 23.08, 0.16364, -0.02853, 0.98602, -0.00995,
 09:57:56.064,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.67, -0.006, 0.725, -0.183, 17.395, 0,,,,,,, -90.615, 25.4, -12.513, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.080,d2:5a:50:4a:21:12, 2024-09-04 09:57:51.656, -0.008, -0.027, -1.02, 0.183, 60.974, 0,,,,,,, -113.104, 10.728, -173.979, -1.176, 16.856, 62.328, 23.08, 0.16364, -0.02853, 0.98602, -0.00995,
 09:57:56.152,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.683, -0.006, 0.716, -0.183, 16.479, 0,,,,,,, -90.632, 26.274, -12.502, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.154,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.69, -0.006, 0.705, -0.183, 15.137, 0,,,,,,, -90.648, 27.092, -12.497, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.183,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.701, -0.006, 0.698, -0.183, 13.916, 0,,,,,,, -90.659, 27.85, -12.491, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.198,d2:5a:50:4a:21:12, 2024-09-04 09:57:51.656, 0.097, -0.028, -1.031, 0.244, 61.89, 0,,,,,,, -113.104, 4.537, -171.337, -1.176, 16.856, 62.328, 23.08, 0.16364, -0.02853, 0.98602, -0.00995,
 09:57:56.273,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.705, -0.006, 0.688, -0.122, 12.573, 0,,,,,,, -90.676, 28.548, -12.486, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.289,d2:5a:50:4a:21:12, 2024-09-04 09:57:51.656, 0.206, -0.029, -1.028, 0.183, 61.707, 0,,,,,,, -113.088, -1.648, -168.898, -1.176, 16.856, 62.328, 23.08, 0.16364, -0.02853, 0.98602, -0.00995,
 09:57:56.303,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.712, -0.007, 0.683, -0.122, 11.292, 0,,,,,,, -90.687, 29.18, -12.486, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.335,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.716, -0.006, 0.676, -0.122, 9.827, 0,,,,,,, -90.703, 29.745, -12.486, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.393,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.723, -0.007, 0.67, -0.122, 8.972, 0,,,,,,, -90.714, 30.262, -12.48, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.408,d2:5a:50:4a:21:12, 2024-09-04 09:57:51.656, 0.307, -0.029, -1.008, 0.244, 60.547, 0,,,,,,, -113.06, -7.745, -166.69, -1.176, 16.856, 62.328, 23.08, 0.16364, -0.02853, 0.98602, -0.00995,
 09:57:56.453,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.725, -0.007, 0.663, -0.061, 7.324, 0,,,,,,, -90.725, 30.712, -12.486, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.498,d2:5a:50:4a:21:12, 2024-09-04 09:57:51.656, 0.408, -0.029, -0.984, 0.244, 60.242, 0,,,,,,, -113.011, -13.859, -164.784, -1.176, 16.856, 62.328, 23.08, 0.16364, -0.02853, 0.98602, -0.00995,
 09:57:56.514,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.73, -0.007, 0.661, -0.122, 6.47, 0,,,,,,, -90.736, 31.108, -12.486, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.544,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.732, -0.007, 0.656, -0.061, 5.005, 0,,,,,,, -90.742, 31.448, -12.491, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.603,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.734, -0.007, 0.653, -0.061, 4.15, 0,,,,,,, -90.747, 31.729, -12.491, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.619,d2:5a:50:4a:21:12, 2024-09-04 09:57:51.656, 0.508, -0.031, -0.945, 0.244, 61.157, 0,,,,,,, -112.939, -19.984, -163.18, -1.176, 16.856, 62.328, 23.08, 0.16364, -0.02853, 0.98602, -0.00995,
 09:57:56.663,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.736, -0.007, 0.651, -0.061, 2.686, 0,,,,,,, -90.758, 31.948, -12.497, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.679,d2:5a:50:4a:21:12, 2024-09-04 09:57:51.656, 0.609, -0.031, -0.892, 0.244, 61.951, 0,,,,,,, -112.846, -26.169, -161.938, -1.176, 16.856, 62.328, 23.08, 0.16364, -0.02853, 0.98602, -0.00995,
 09:57:56.693,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.735, -0.007, 0.65, -0.061, 1.77, 0,,,,,,, -90.758, 32.119, -12.508, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.754,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.734, -0.007, 0.648, -0.061, 0.305, 0,,,,,,, -90.764, 32.223, -12.513, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.783,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.735, -0.006, 0.649, -0.061, -0.366, 0,,,,,,, -90.764, 32.283, -12.524, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.800,d2:5a:50:4a:21:12, 2024-09-04 09:57:51.656, 0.679, -0.03, -0.825, 0.244, 62.378, 0,,,,,,, -112.72, -32.344, -161.049, -1.176, 16.856, 62.328, 23.08, 0.16364, -0.02853, 0.98602, -0.00995,
 09:57:56.874,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.735, -0.008, 0.65, -0.183, -1.709, 0,,,,,,, -90.769, 32.289, -12.535, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.889,d2:5a:50:4a:21:12, 2024-09-04 09:57:51.656, 0.757, -0.031, -0.766, 0.244, 61.768, 0,,,,,,, -112.549, -38.628, -160.593, -1.176, 16.856, 62.328, 23.08, 0.16364, -0.02853, 0.98602, -0.00995,
 09:57:56.933,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.73, -0.009, 0.651, -0.061, -2.563, 0,,,,,,, -90.78, 32.245, -12.546, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.993,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.729, -0.007, 0.654, 0, -3.967, 0,,,,,,, -90.78, 32.141, -12.557, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:56.993,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.725, -0.007, 0.655, 0, -4.7, 0,,,,,,, -90.78, 31.992, -12.574, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:57.007,d2:5a:50:4a:21:12, 2024-09-04 09:57:51.656, 0.822, -0.032, -0.688, 0.244, 62.622, 0,,,,,,, -112.324, -44.786, -160.521, -1.176, 16.856, 62.328, 23.08, 0.16364, -0.02853, 0.98602, -0.00995,
 09:57:57.084,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.724, -0.007, 0.66, 0, -5.981, 0,,,,,,, -90.775, 31.783, -12.585, 11.662, 66.836, -37.240, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:57.114,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.715, -0.007, 0.663, 0, -6.653, 0,,,,,,, -90.775, 31.531, -12.601, 15.778, 68.404, -35.182, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:57.129,d2:5a:50:4a:21:12, 2024-09-04 09:57:51.656, 0.876, -0.033, -0.601, 0.244, 61.523, 0,,,,,,, -112.022, -50.922, -160.884, -67.326, 41.944, 39.592, 23.08, 0.16364, -0.02853, 0.98602, -0.00995,
 09:57:57.204,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.714, -0.008, 0.669, 0, -7.874, 0,,,,,,, -90.769, 31.223, -12.618, 15.778, 68.404, -35.182, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:57.204,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.705, -0.007, 0.673, 0.061, -8.728, 0,,,,,,, -90.764, 30.872, -12.629, 15.778, 68.404, -35.182, 23.35, 0.93625, 0.03323, 0.33453, -0.10144,
 09:57:57.218,d2:5a:50:4a:21:12, 2024-09-04 09:57:51.656, 0.922, -0.033, -0.509, 0.244, 61.279, 0,,,,,,, -111.599, -57.03, -161.68, -67.326, 41.944, 39.592, 23.08, -0.448, -0.15396, 0.87518, -0.09775,
 09:57:57.263,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:51.579, -0.703, -0.007, 0.68, 0, -9.705, 0,,,,,,, -90.764, 30.471, -12.645, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:57.279,d2:5a:50:4a:21:12, 2024-09-04 09:57:52.846, 0.965, -0.033, -0.412, 0.244, 60.669, 0,,,,,,, -110.989, -63.138, -162.927, -67.326, 41.944, 39.592, 23.08, -0.448, -0.15396, 0.87518, -0.09775,
 09:57:57.355,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.695, -0.007, 0.684, 0, -10.62, 0,,,,,,, -90.758, 30.026, -12.662, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:57.355,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.686, -0.007, 0.693, 0.061, -11.78, 0,,,,,,, -90.747, 29.531, -12.684, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:57.384,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.68, -0.007, 0.699, 0.061, -12.634, 0,,,,,,, -90.742, 28.982, -12.706, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:57.399,d2:5a:50:4a:21:12, 2024-09-04 09:57:52.846, 0.989, -0.034, -0.306, 0.244, 60.974, 0,,,,,,, -110.05, -69.203, -164.707, -67.326, 41.944, 39.592, 23.08, -0.448, -0.15396, 0.87518, -0.09775,
 09:57:57.473,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.67, -0.006, 0.708, 0.122, -13.55, 0,,,,,,, -90.731, 28.394, -12.728, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:57.489,d2:5a:50:4a:21:12, 2024-09-04 09:57:52.846, 1.004, -0.034, -0.201, 0.244, 60.181, 0,,,,,,, -108.441, -75.273, -167.349, -67.326, 41.944, 39.592, 23.08, -0.448, -0.15396, 0.87518, -0.09775,
 09:57:57.504,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.66, -0.007, 0.715, 0.061, -14.526, 0,,,,,,, -90.72, 27.757, -12.75, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:57.564,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.644, -0.007, 0.726, 0.061, -16.113, 0,,,,,,, -90.709, 27.059, -12.777, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:57.609,d2:5a:50:4a:21:12, 2024-09-04 09:57:52.846, 1.01, -0.034, -0.093, 0.305, 62.317, 0,,,,,,, -105.084, -81.326, -171.887, -67.326, 41.944, 39.592, 23.08, -0.448, -0.15396, 0.87518, -0.09775,
 09:57:57.624,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.642, -0.005, 0.733, 0.061, -16.479, 0,,,,,,, -90.703, 26.312, -12.805, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:57.699,d2:5a:50:4a:21:12, 2024-09-04 09:57:52.846, 0.981, -0.034, 0.02, 0.305, 61.34, 0,,,,,,, -94.427, -87.237, 176.171, -67.326, 41.944, 39.592, 23.08, -0.448, -0.15396, 0.87518, -0.09775,
 09:57:57.713,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.626, -0.007, 0.743, 0.122, -17.944, 0,,,,,,, -90.687, 25.527, -12.832, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:57.713,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.602, -0.006, 0.752, 0.122, -19.104, 0,,,,,,, -90.676, 24.67, -12.865, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:57.744,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.599, -0.006, 0.768, 0.122, -20.081, 0,,,,,,, -90.665, 23.752, -12.898, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:57.803,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.58, -0.007, 0.773, 0.122, -20.447, 0,,,,,,, -90.648, 22.808, -12.931, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:57.819,d2:5a:50:4a:21:12, 2024-09-04 09:57:52.846, 0.966, -0.035, 0.11, 0.244, 61.523, 0,,,,,,, 2.005, -90.632, 78.371, -67.326, 41.944, 39.592, 23.08, -0.448, -0.15396, 0.87518, -0.09775,
 09:57:57.862,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.566, -0.004, 0.787, 0.122, -22.278, 0,,,,,,, -90.637, 21.797, -12.964, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:57.908,d2:5a:50:4a:21:12, 2024-09-04 09:57:52.846, 0.93, -0.034, 0.224, 0.305, 61.096, 0,,,,,,, 49.647, -85.512, 29.323, -67.326, 41.944, 39.592, 23.08, -0.448, -0.15396, 0.87518, -0.09775,
 09:57:57.952,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.541, -0.004, 0.797, 0.183, -22.949, 0,,,,,,, -90.621, 20.737, -13.002, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:57.955,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.534, -0.005, 0.812, 0.122, -24.17, 0,,,,,,, -90.604, 19.622, -13.041, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:58.012,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.512, -0.005, 0.819, 0.122, -24.658, 0,,,,,,, -90.593, 18.468, -13.079, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:58.029,d2:5a:50:4a:21:12, 2024-09-04 09:57:52.846, 0.895, -0.034, 0.321, 0.244, 59.998, 0,,,,,,, 56.64, -79.568, 20.918, -67.326, 41.944, 39.592, 23.08, -0.448, -0.15396, 0.87518, -0.09775,
 09:57:58.073,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.497, -0.005, 0.833, 0.244, -26.367, 0,,,,,,, -90.577, 17.254, -13.118, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:58.089,d2:5a:50:4a:21:12, 2024-09-04 09:57:52.846, 0.838, -0.035, 0.426, 0.305, 59.631, 0,,,,,,, 59.238, -73.669, 16.935, -67.326, 41.944, 39.592, 23.08, -0.448, -0.15396, 0.87518, -0.09775,
 09:57:58.104,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.462, -0.005, 0.842, 0.183, -27.588, 0,,,,,,, -90.56, 15.98, -13.162, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:58.163,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.442, -0.003, 0.859, 0.122, -28.381, 0,,,,,,, -90.544, 14.645, -13.206, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:58.193,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.426, -0.004, 0.872, 0.183, -30.518, 0,,,,,,, -90.527, 13.244, -13.25, 15.778, 68.404, -35.182, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:58.209,d2:5a:50:4a:21:12, 2024-09-04 09:57:52.846, 0.785, -0.034, 0.509, 0.305, 59.082, 0,,,,,,, 60.617, -67.681, 14.167, -67.326, 41.944, 39.592, 23.08, -0.448, -0.15396, 0.87518, -0.09775,
 09:57:58.287,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.386, -0.004, 0.881, 0.183, -31.738, 0,,,,,,, -90.511, 11.761, -13.293, 0.980, 66.052, -41.160, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:58.299,d2:5a:50:4a:21:12, 2024-09-04 09:57:52.846, 0.711, -0.034, 0.603, 0.244, 60.913, 0,,,,,,, 61.452, -61.683, 11.992, -67.326, 41.944, 39.592, 23.08, -0.448, -0.15396, 0.87518, -0.09775,
 09:57:58.313,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.375, -0.002, 0.896, 0.244, -33.081, 0,,,,,,, -90.494, 10.206, -13.343, 0.980, 66.052, -41.160, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:58.373,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.335, -0.002, 0.904, 0.244, -33.569, 0,,,,,,, -90.478, 8.613, -13.387, 0.980, 66.052, -41.160, 23.35, 0.91821, 0.03757, 0.38138, -0.0997,
 09:57:58.404,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:52.799, -0.306, -0.001, 0.918, 0.244, -35.767, 0,,,,,,, -90.456, 6.954, -13.436, 0.980, 66.052, -41.160, 23.35, 0.97552, 0.01962, 0.18652, -0.11435,
 09:57:58.419,d2:5a:50:4a:21:12, 2024-09-04 09:57:52.846, 0.631, -0.033, 0.684, 0.305, 59.937, 0,,,,,,, 62.018, -55.585, 10.19, -35.476, 26.460, -17.444, 23.08, -0.90604, -0.01099, 0.41821, -0.06314,
 09:57:58.495,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:53.959, -0.271, -0.003, 0.927, 0.244, -36.743, 0,,,,,,, -90.439, 5.219, -13.486, 0.980, 66.052, -41.160, 23.35, 0.97552, 0.01962, 0.18652, -0.11435,
 09:57:58.510,d2:5a:50:4a:21:12, 2024-09-04 09:57:54.096, 0.544, -0.033, 0.75, 0.305, 62.012, 0,,,,,,, 62.419, -49.411, 8.641, -35.476, 26.460, -17.444, 23.08, -0.90604, -0.01099, 0.41821, -0.06314,
 09:57:58.523,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:53.959, -0.253, -0.004, 0.938, 0.244, -36.926, 0,,,,,,, -90.417, 3.439, -13.535, 0.980, 66.052, -41.160, 23.35, 0.97552, 0.01962, 0.18652, -0.11435,
 09:57:58.614,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:53.959, -0.206, -0.002, 0.944, 0.244, -37.903, 0,,,,,,, -90.406, 1.642, -13.59, 0.980, 66.052, -41.160, 23.35, 0.97552, 0.01962, 0.18652, -0.11435,
 09:57:58.614,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:53.959, -0.173, 0, 0.955, 0.366, -38.574, 0,,,,,,, -90.39, -0.203, -13.64, 0.980, 66.052, -41.160, 23.35, 0.97552, 0.01962, 0.18652, -0.11435,
 09:57:58.629,d2:5a:50:4a:21:12, 2024-09-04 09:57:54.096, 0.447, -0.034, 0.819, 0.366, 61.096, 0,,,,,,, 62.715, -43.253, 7.377, -35.476, 26.460, -17.444, 23.08, -0.90604, -0.01099, 0.41821, -0.06314,
 09:57:58.674,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:53.959, -0.138, -0.001, 0.961, 0.366, -38.757, 0,,,,,,, -90.368, -2.076, -13.689, 0.980, 66.052, -41.160, 23.35, 0.97552, 0.01962, 0.18652, -0.11435,
 09:57:58.689,d2:5a:50:4a:21:12, 2024-09-04 09:57:54.096, 0.348, -0.033, 0.865, 0.244, 61.279, 0,,,,,,, 62.935, -37.057, 6.345, -35.476, 26.460, -17.444, 23.08, -0.90604, -0.01099, 0.41821, -0.06314,
 09:57:58.733,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:53.959, -0.104, -0.003, 0.967, 0.366, -38.879, 0,,,,,,, -90.346, -3.95, -13.738, 0.980, 66.052, -41.160, 23.35, 0.97552, 0.01962, 0.18652, -0.11435,
 09:57:58.764,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:53.959, -0.066, -0.002, 0.972, 0.366, -38.879, 0,,,,,,, -90.33, -5.839, -13.788, 0.980, 66.052, -41.160, 23.35, 0.97552, 0.01962, 0.18652, -0.11435,
 09:57:58.793,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:53.959, -0.035, 0, 0.975, 0.366, -38.513, 0,,,,,,, -90.313, -7.718, -13.832, 0.980, 66.052, -41.160, 23.35, 0.97552, 0.01962, 0.18652, -0.11435,
 09:57:58.809,d2:5a:50:4a:21:12, 2024-09-04 09:57:54.096, 0.242, -0.034, 0.908, 0.244, 61.584, 0,,,,,,, 63.094, -30.866, 5.625, -35.476, 26.460, -17.444, 23.08, -0.90604, -0.01099, 0.41821, -0.06314,
 09:57:58.884,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:53.959, 0.009, 0, 0.979, 0.366, -37.781, 0,,,,,,, -90.291, -9.586, -13.876, 0.980, 66.052, -41.160, 23.35, 0.97552, 0.01962, 0.18652, -0.11435,
 09:57:58.899,d2:5a:50:4a:21:12, 2024-09-04 09:57:54.096, 0.143, -0.03, 0.941, 0.244, 61.829, 0,,,,,,, 63.215, -24.626, 5.191, -35.476, 26.460, -17.444, 23.08, -0.90604, -0.01099, 0.41821, -0.06314,
 09:57:58.943,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:53.959, 0.031, 0, 0.981, 0.305, -36.438, 0,,,,,,, -90.275, -11.404, -13.914, 0.980, 66.052, -41.160, 23.35, 0.97552, 0.01962, 0.18652, -0.11435,
